   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
 1020.0     10   11.2   -0.8     43   3.55     15     14  282.8  293.0  283.4
 1000.0    175    8.8   -2.2     46   3.27     15     31  281.9  291.4  282.5
  925.0    813    2.8   -4.2     60   3.04     15     33  282.2  291.0  282.7
  916.0    892    2.0   -3.0     69   3.36     18     33  282.1  291.8  282.7
  911.0    936    1.8   -6.2     55   2.65     20     32  282.4  290.1  282.8
  906.0    981    2.2  -15.8     25   1.24     21     32  283.2  287.0  283.4
  850.0   1494   -0.3  -13.3     37   1.62     40     29  285.8  290.8  286.1
  845.0   1541   -0.5  -13.5     37   1.61     40     29  286.1  291.0  286.4
  828.0   1703   -1.1  -14.1     37   1.56     37     30  287.1  291.9  287.4
  810.0   1879    0.2  -26.8     11   0.53     35     31  290.3  292.1  290.4
  781.0   2170   -0.1  -35.2      5   0.25     30     33  293.0  293.9  293.1
  764.0   2346   -0.3  -40.3      3   0.15     43     34  294.7  295.2  294.7
  761.0   2377   -0.3  -38.3      4   0.19     45     34  295.0  295.7  295.0
  755.0   2440   -0.7  -38.3      4   0.19     50     34  295.2  295.9  295.2
  710.0   2927   -4.1  -38.1      5   0.20     38     34  296.7  297.4  296.8
  700.0   3039   -4.7  -25.7     18   0.68     35     34  297.2  299.5  297.4
  682.0   3242   -6.6  -22.7     27   0.91     35     37  297.4  300.4  297.6
  660.0   3497   -8.9  -18.9     44   1.31     36     35  297.6  301.8  297.8
  631.0   3844  -10.5  -16.5     61   1.68     37     33  299.6  305.0  299.9
  602.0   4204  -11.9  -22.9     40   1.01     39     30  302.0  305.4  302.2
  574.0   4564  -14.9  -37.9     12   0.26     40     28  302.6  303.6  302.7
  556.0   4805  -16.9  -47.9      5   0.09     37     20  303.0  303.4  303.1
  546.0   4939  -18.0  -46.8      6   0.10     35     15  303.3  303.7  303.3
  538.0   5048  -18.9  -45.9      7   0.12     10     10  303.5  303.9  303.5
  516.0   5357  -21.5  -43.4     12   0.16      5      3  304.0  304.6  304.0
  500.0   5590  -23.5  -41.5     18   0.20     50      5  304.3  305.1  304.4
  482.0   5857  -25.9  -43.9     17   0.16     66      9  304.6  305.2  304.6
  478.0   5918  -25.6  -47.6     11   0.11     70     10  305.7  306.1  305.7
  474.0   5979  -25.3  -51.3      7   0.07     60     11  306.8  307.1  306.8
  468.0   6070  -26.0  -50.4      8   0.08     45     13  307.1  307.4  307.1
  422.0   6813  -31.5  -43.5     30   0.19     35     22  309.2  309.9  309.2
  421.0   6830  -31.6  -43.7     29   0.19     35     22  309.2  310.0  309.3
  400.0   7190  -34.5  -48.5     23   0.12     35     19  310.1  310.5  310.1
  389.0   7383  -35.8  -51.0     19   0.09     25     18  310.9  311.2  310.9
  365.0   7825  -38.7  -56.7     13   0.05     50     10  312.7  312.9  312.7
  349.0   8129  -41.6  -57.6     16   0.05     10     14  312.9  313.1  312.9
  326.0   8590  -45.9  -58.9     22   0.04     18     11  313.0  313.2  313.0
  320.0   8713  -46.7  -61.2     17   0.03     20     10  313.6  313.8  313.6
  300.0   9140  -49.3  -69.3      8   0.01     80      4  315.8  315.8  315.8
  277.0   9657  -53.3  -70.3     11   0.01    359      2  317.3  317.3  317.3
  264.0   9963  -54.8  -70.8     12   0.01    310      1  319.4  319.5  319.4
  252.0  10260  -56.3  -71.3     14   0.01    270      7  321.5  321.6  321.5
  250.0  10310  -56.3  -72.3     12   0.01    265      9  322.2  322.3  322.2
  249.0  10336  -56.2  -72.5     11   0.01    265     10  322.7  322.7  322.7
  244.0  10465  -55.9  -73.3     10   0.01    300     13  325.0  325.1  325.0
  229.0  10869  -55.0  -76.0      6   0.01    305     19  332.4  332.5  332.4
  225.0  10981  -54.7  -76.7      5   0.01    298     16  334.5  334.6  334.5
  215.0  11270  -55.8  -77.4      5   0.00    280      8  337.2  337.3  337.2
  204.0  11604  -57.0  -78.2      5   0.00    255     16  340.4  340.4  340.4
  200.0  11730  -57.5  -78.5      5   0.00    255     13  341.6  341.6  341.6
  198.0  11793  -57.9  -78.9      5   0.00    260     11  341.9  341.9  341.9
  195.0  11890  -58.5  -79.5      5   0.00    290     12  342.4  342.4  342.4
  194.0  11922  -58.5  -79.6      5   0.00    290     13  342.9  342.9  342.9
  192.0  11987  -58.6  -79.7      5   0.00    290     15  343.8  343.8  343.8
  187.0  12153  -58.8  -80.2      5   0.00    245     12  346.2  346.2  346.2
  184.0  12255  -58.8  -80.4      5   0.00    230     14  347.6  347.6  347.6
  176.0  12535  -59.1  -81.1      4   0.00    245     22  351.6  351.6  351.6
  168.0  12830  -57.1  -82.5      3   0.00    260     31  359.7  359.7  359.7
  163.0  13021  -55.8  -83.3      2   0.00    250     29  365.0  365.0  365.0
  162.0  13060  -55.5  -83.5      2   0.00    251     29  366.1  366.1  366.1
  150.0  13550  -56.9  -84.9      2   0.00    260     29  371.8  371.9  371.8
  134.0  14261  -57.2  -85.2      2   0.00    265     39  383.4  383.4  383.4
  125.0  14699  -57.4  -85.4      2   0.00    270     25  390.8  390.8  390.8
  122.0  14853  -57.5  -85.5      2   0.00    264     27  393.4  393.4  393.4
  111.0  15441  -59.9  -86.4      2   0.00    240     35  399.6  399.6  399.6
