PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
 1018.0     10   27.4   14.4     45  10.23     20      3  299.0  329.2  300.9
 1016.0     28   25.8   14.8     51  10.52     25      4  297.6  328.4  299.5
 1000.0    173   24.0   14.0     54  10.14     65      8  297.1  326.8  299.0
  991.0    252   23.4   13.4     53   9.84     53      8  297.3  326.1  299.1
  947.0    648   24.4    1.4     22   4.49    355      9  302.2  316.1  303.0
  925.0    853   22.8    4.8     31   5.86    325      9  302.6  320.5  303.7
  850.0   1581   17.6    2.6     37   5.46     70      3  304.6  321.4  305.6
  709.0   3097    4.8   -2.2     60   4.61     75      8  306.6  321.1  307.5
  700.0   3201    4.4   -7.6     41   3.10     75      8  307.3  317.3  307.9
  684.0   3389    3.6  -17.5     20   1.43     90     13  308.5  313.3  308.8
  679.0   3448    3.4  -20.6     15   1.10     83     13  308.9  312.7  309.1
  667.0   3593    2.2  -11.8     35   2.33     67     14  309.1  316.8  309.6
  662.0   3653    1.4   -3.6     69   4.45     60     15  308.9  323.0  309.7
  655.0   3738    0.9   -4.1     69   4.34     50     15  309.3  323.1  310.1
  631.0   4038   -0.9   -5.7     70   3.98     50     14  310.5  323.3  311.3
  612.0   4281   -2.5   -9.5     59   3.06     50     13  311.4  321.4  312.0
  586.0   4625   -3.7  -26.7     15   0.74     50     12  313.9  316.5  314.0
  576.0   4760   -4.5  -27.3     15   0.71     50     11  314.5  317.1  314.6
  549.0   5137   -6.8  -28.8     15   0.65     30     13  316.1  318.5  316.2
  548.0   5151   -6.9  -28.9     16   0.64     30     13  316.2  318.5  316.3
  542.0   5237   -7.1  -18.1     41   1.71     31     12  316.9  322.8  317.3
  533.0   5367   -8.1  -22.1     31   1.23     32     12  317.2  321.6  317.5
  519.0   5573   -9.7  -16.7     57   2.01     33     11  317.8  324.6  318.1
  500.0   5860  -11.5  -21.5     43   1.38     35      9  318.9  323.8  319.2
  495.0   5937  -11.9  -25.9     30   0.94     36      9  319.4  322.8  319.6
  488.0   6046  -12.5  -24.5     36   1.08     37      9  319.9  323.8  320.2
  462.0   6461  -15.7  -23.7     50   1.23     42     10  321.0  325.4  321.2
  449.0   6675  -17.4  -28.9     36   0.79     45     10  321.5  324.3  321.6
  447.0   6709  -17.7  -29.7     34   0.73     42     10  321.5  324.2  321.7
  444.0   6759  -18.1  -25.1     54   1.13     37     10  321.6  325.7  321.9
  440.0   6827  -18.5  -30.5     34   0.69     31     10  322.0  324.5  322.1
  432.0   6963  -19.5  -27.5     49   0.93     19     10  322.4  325.8  322.6
  414.0   7277  -21.8  -33.2     35   0.57    350     10  323.4  325.5  323.5
  401.0   7512  -23.5  -37.5     26   0.38    350     10  324.1  325.6  324.2
  400.0   7530  -23.5  -37.5     26   0.38    350     10  324.4  325.8  324.4
  390.0   7714  -25.1  -31.1     57   0.74    353     11  324.6  327.4  324.8
  372.0   8055  -27.9  -34.9     51   0.53    359     13  325.3  327.3  325.4
  365.0   8192  -28.5  -41.5     28   0.28      2     14  326.3  327.4  326.4
  343.0   8626  -32.4  -42.6     35   0.26     10     17  326.9  327.9  326.9
  337.0   8749  -33.5  -43.0     38   0.26    355     16  327.0  328.1  327.1
  318.0   9155  -37.1  -44.0     48   0.24      5     10  327.5  328.4  327.5
  303.0   9492  -40.1  -44.9     60   0.23      9     13  327.8  328.7  327.9
  300.0   9560  -40.7  -45.7     58   0.21     10     14  327.9  328.8  327.9
  297.0   9629  -41.3  -48.3     47   0.16      9     15  328.0  328.6  328.0
  295.0   9675  -41.5  -56.5     18   0.06      9     16  328.3  328.6  328.3
  277.0  10095  -44.7  -58.2     21   0.05      5     23  329.7  329.9  329.7
  250.0  10780  -49.9  -60.9     26   0.04    355     19  331.8  331.9  331.8
  219.0  11631  -56.7  -62.7     47   0.04    341     26  334.0  334.2  334.1
  216.0  11717  -57.2  -63.7     44   0.03    340     27  334.5  334.7  334.5
  209.0  11924  -58.5  -66.1     37   0.03    350     28  335.6  335.8  335.6
  202.0  12138  -59.9  -68.6     31   0.02      0     26  336.8  336.9  336.8
  200.0  12200  -60.3  -69.3     30   0.02      0     26  337.1  337.2  337.1
  195.0  12357  -60.9  -68.9     34   0.02    350     26  338.6  338.7  338.6
  182.0  12789  -57.5  -77.5      6   0.01    331     19  350.9  350.9  350.9
  181.0  12824  -57.7  -77.3      6   0.01    330     18  351.1  351.2  351.1
  174.0  13072  -58.9  -76.3      9   0.01    345     19  353.1  353.1  353.1
  173.0  13108  -59.1  -76.1      9   0.01    341     19  353.4  353.4  353.4
  167.0  13331  -58.0  -77.3      7   0.01    315     18  358.8  358.8  358.8
  159.0  13641  -56.5  -78.9      4   0.01    335     15  366.4  366.4  366.4
  155.0  13802  -55.7  -79.7      3   0.00    333     13  370.4  370.4  370.4
  151.0  13968  -57.0  -80.2      4   0.00    330     10  371.0  371.0  371.0
  150.0  14010  -57.3  -80.3      4   0.00    325     10  371.1  371.2  371.2
  147.0  14137  -57.5  -80.6      4   0.00    315     16  372.9  372.9  372.9
  143.0  14309  -57.9  -81.0      4   0.00    320     26  375.2  375.2  375.2
  140.0  14442  -58.1  -81.3      4   0.00    330     21  377.1  377.1  377.1
  134.0  14717  -58.7  -82.0      3   0.00    305     11  380.8  380.9  380.8
  132.0  14811  -58.9  -82.2      3   0.00    300     13  382.1  382.2  382.1
  127.0  15053  -59.4  -82.8      3   0.00    330     16  385.5  385.6  385.5
  123.0  15253  -59.8  -83.2      3   0.00    320     17  388.4  388.4  388.4
  118.0  15513  -60.3  -83.8      3   0.00    340     22  392.0  392.1  392.0
  113.0  15784  -60.8  -84.5      3   0.00      5     13  395.9  395.9  395.9
  107.0  16126  -61.5  -85.3      3   0.00    300      7  400.9  400.9  400.9
  105.0  16244  -61.7  -85.6      3   0.00    310     10  402.6  402.6  402.6
  100.0  16550  -62.3  -86.3      3   0.00    340     19  407.1  407.1  407.1
   94.0  16933  -62.1  -86.5      3   0.00     50     10  414.8  414.8  414.8
   91.0  17134  -62.0  -86.5      2   0.00     25      2  418.9  418.9  418.9
   87.0  17412  -61.8  -86.6      2   0.00    315     10  424.6  424.7  424.6
   82.0  17779  -61.6  -86.8      2   0.00    335     14  432.3  432.4  432.3
   77.0  18169  -61.3  -86.9      2   0.00     20     18  440.7  440.7  440.7
   75.0  18332  -61.2  -87.0      2   0.00     35     15  444.2  444.2  444.2
   72.3  18559  -61.1  -87.1      2   0.00     26     15  449.2  449.2  449.2
   72.0  18584  -60.9  -87.2      2   0.00     25     15  450.1  450.1  450.1
   70.0  18760  -59.7  -87.7      1   0.00     45     14  456.3  456.3  456.3
   69.0  18851  -59.2  -87.4      1   0.00     75     12  459.2  459.2  459.2
   68.0  18942  -58.8  -87.2      1   0.00     75     11  462.1  462.1  462.1
   67.0  19036  -58.3  -86.9      1   0.00     40     12  465.0  465.0  465.0
   66.0  19130  -57.9  -86.6      1   0.00     45     12  468.0  468.1  468.0
   64.8  19245  -57.3  -86.3      1   0.00     70     12  471.7  471.8  471.7
   62.0  19524  -57.5  -86.4      1   0.00    130     13  477.2  477.2  477.2
   61.0  19626  -57.6  -86.4      1   0.00    145     10  479.2  479.2  479.2
   60.0  19731  -57.7  -86.4      1   0.00    240      1  481.3  481.3  481.3
   54.0  20395  -58.3  -86.6      2   0.00     35     10  494.7  494.7  494.7
   52.0  20633  -58.5  -86.6      2   0.00     80     15  499.5  499.6  499.5
   50.2  20855  -58.7  -86.7      2   0.00    125     10  504.1  504.2  504.1
   50.0  20880  -58.7  -86.7      2   0.00    130      9  504.7  504.8  504.7
   49.0  21007  -57.6  -86.3      1   0.00    105      2  510.2  510.2  510.2
   47.1  21257  -55.5  -85.5      1   0.01     86      7  521.1  521.1  521.1
   46.0  21408  -55.4  -85.5      1   0.01     75     10  524.9  525.0  524.9
   44.0  21692  -55.1  -85.4      1   0.01    115     11  532.3  532.3  532.3
   40.0  22301  -54.6  -85.3      1   0.01     80     10  548.3  548.4  548.3
   39.0  22463  -54.4  -85.2      1   0.01    105     14  552.7  552.8  552.7
   37.0  22800  -54.1  -85.2      1   0.01     70     16  561.8  561.9  561.8
   35.0  23155  -53.8  -85.1      1   0.01    125     12  571.7  571.7  571.7
   33.0  23531  -53.5  -85.0      1   0.01     75     13  582.2  582.3  582.3
   32.0  23727  -53.3  -85.0      1   0.01     90     19  587.9  588.0  587.9
   31.0  23930  -53.1  -84.9      1   0.01    130     15  593.7  593.8  593.7
   30.0  24140  -52.9  -84.9      1   0.01    130     14  599.8  599.9  599.8
   29.0  24359  -52.8  -84.8      1   0.01    125     16  606.0  606.1  606.0
   28.0  24585  -52.7  -84.7      1   0.01    150     11  612.5  612.5  612.5
   26.8  24868  -52.5  -84.5      1   0.01    100     10  620.6  620.7  620.6
   26.0  25065  -50.9  -83.9      1   0.01     65     10  630.5  630.6  630.5
   25.2  25269  -49.3  -83.3      1   0.02     70     10  640.8  640.9  640.8
   23.0  25870  -48.5  -82.9      1   0.02     85     10  660.0  660.2  660.0
   22.0  26163  -48.1  -82.7      1   0.02     95      7  669.6  669.8  669.6
   20.0  26790  -47.3  -82.3      1   0.02    115     11  690.6  690.9  690.6
   19.0  27134  -46.7  -82.1      1   0.02     95     18  702.7  702.9  702.7
   18.0  27496  -46.1  -81.9      1   0.03    105     17  715.6  715.9  715.6
   17.0  27879  -45.4  -81.7      1   0.03     95     19  729.5  729.8  729.5
   16.0  28285  -44.7  -81.4      1   0.03    115     21  744.5  744.9  744.5
   15.0  28717  -44.0  -81.2      1   0.04    115     25  760.8  761.2  760.8
   14.0  29179  -43.2  -80.9      1   0.04    120     25  778.7  779.1  778.7
   13.0  29676  -42.3  -80.6      1   0.05     85     18  798.3  798.9  798.3
   12.0  30212  -41.4  -80.3      1   0.05     85     14  820.0  820.7  820.1
   11.9  30268  -41.3  -80.3      1   0.05     85     15  822.3  823.0  822.4
   11.0  30801  -41.5  -80.0      1   0.06     90     26  840.3  841.0  840.3
   10.2  31313  -41.7  -79.7      1   0.07    110     28  857.9  858.8  857.9
